Date,Adj_Close,Open,adx,aroondown,aroonup,aroonosc,bop,cci,cmo,dx,mfi,minus_di,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr
2020-06-26,61.51371383666992,62.83000183105469,11.786330747337317,100.0,14.285714285714286,-85.71428571428572,-0.25490254743601054,-138.51186228053407,-13.326589592683755,11.35287486381947,42.71714062960228,23.10503608341346,18.393732783883557,-0.42801822176462034,-6.9027325725672934,43.33670520365812,19.31509293994702,29.408027398946803,14.257817156617453,19.31509293994702,0.08234689726749345,48.968361336955205,-87.58503599960025
2020-06-29,61.66179656982422,63.0,11.755369612800328,92.85714285714286,7.142857142857143,-85.71428571428572,-0.5400009155273438,-125.09707017727052,-11.757401558219275,11.352874863819476,42.44844549533755,22.194849251504436,17.669140391597157,-0.9055383597639364,-4.025818489347099,44.12129922089036,16.589053007211653,21.116566152915492,20.902552132697128,16.589053007211653,0.04921934726085375,46.27003120560557,-85.03405332534064
2020-06-30,61.70128631591797,62.65999984741211,11.585282068429558,85.71428571428572,0.0,-85.71428571428572,-0.17391322375731844,-102.81857731219057,-11.3147460722696,9.374143991609534,43.889322987267136,21.36113011743335,17.699527800167424,-1.180703404497598,-1.8067580491908264,44.3426269638652,19.004354046657273,18.302833331272286,21.85269285065774,19.004354046657273,0.018014711709324338,46.10044895864896,-82.03126862646926
2020-07-01,63.36968994140625,62.349998474121094,10.990518638595473,78.57142857142857,0.0,-78.57142857142857,0.9292933574288214,-0.6952008021713573,5.682677687462076,3.2585940507523605,52.71393945541223,19.65032350301903,20.97410883845006,-1.277360528795796,1.0707040432128112,52.84133884373104,34.916840789663475,23.503415947844434,61.99527738563607,34.916840789663475,-0.000486461414639372,48.41665284414417,-38.00472261436392
2020-07-02,63.28083801269531,64.87000274658203,10.946235474340755,71.42857142857143,50.0,-21.42857142857143,-0.7000048550759735,74.01953077648695,4.765177085552799,10.370554339029404,59.788891830461985,18.751797916135065,23.091142822481128,-1.370307416592082,0.564789435479307,52.382588542776396,47.90179523377177,33.94099669003114,59.857415465022,47.90179523377177,-0.010636661159058036,49.54303266658307,-40.142584534978
2020-07-06,62.76748657226562,64.73000335693361,10.177768692921543,64.28571428571429,42.85714285714286,-21.42857142857143,-0.5867346045079564,16.496412613787758,-0.6038510261101073,0.1877005344717918,59.54340126086366,21.148958136442946,21.228500853462563,-1.3850632905845037,-0.48520513625794903,49.69807448694495,56.45288047460517,46.423838832680445,47.50594857315794,56.45288047460517,-0.018008174219952267,45.68048744845594,-52.49405142684206
2020-07-07,62.78722763061523,63.09000015258789,9.69008703320198,57.142857142857146,35.714285714285715,-21.42857142857143,0.43589526228444553,-29.64424878491536,-0.3907851915297197,3.350225456847694,53.74759283619569,21.581103332778095,20.181946989330694,-1.4185599288969897,-1.4106396403268606,49.80460740423514,51.78143078663721,52.04536883167169,47.98092832173218,51.78143078663721,-0.023048801881875303,49.67257751067109,-52.01907167826782
2020-07-08,62.95505905151367,63.43999862670898,9.064898241061957,50.0,28.571428571428573,-21.42857142857143,0.31132319917084794,-2.0914812319812284,1.5187787846507954,0.9374439432416818,59.53522684325294,20.59069079992231,20.208223845668872,-1.333034564560159,-0.3749440250853442,50.759389392325396,49.16861932091714,52.46764352738682,52.01898106786176,49.16861932091714,-0.025304169156059597,52.715727312276194,-47.98101893213824
2020-07-09,62.43183135986328,63.06999969482422,9.117564785621724,42.85714285714286,21.42857142857143,-21.42857142857143,0.11888248067309386,-61.053580752017524,-4.575282387294867,9.802229864898685,54.54857280021743,22.862908151588833,18.780887570446122,-1.4135684713111427,-2.9316957830820667,47.71235880635256,46.476614360299436,49.14222148928491,39.429933691304846,46.476614360299436,-0.02865741544034739,54.08621290405794,-60.570066308695154
2020-07-10,62.95505905151367,63.349998474121094,8.618746377790675,35.714285714285715,14.285714285714286,-21.42857142857143,0.41176800580434564,26.94508398364044,1.7746443947615747,2.1341070759870293,48.895151798119194,21.824112123265614,20.912076106252336,-1.2878840554472775,-0.6543105899177393,50.88732219738078,51.39987671732363,49.015036799513716,62.75071539280476,51.39987671732363,-0.029337591046085798,55.82658185739783,-47.98101893213824
2020-07-13,63.34994506835938,63.16999816894531,8.375111063725864,28.571428571428573,7.142857142857143,-21.42857142857143,0.5681811285421372,76.09123182728844,6.394296829120588,5.207851980883317,47.186911455473165,20.124957445458993,22.336275612368546,-1.1733068224561287,0.7694690034882212,53.1971484145603,58.79754132058121,52.22467746606841,74.21197487763449,58.79754132058121,-0.025965353129919766,50.76186232314428,-38.47988358375029
2020-07-14,63.81393814086914,63.88999938964844,8.28291058329823,21.42857142857143,0.0,-21.42857142857143,0.6147534832528704,134.23648311619507,11.652142989573708,7.084304337738987,53.74606996100775,19.01953571894706,21.91980307281341,-0.910378642129712,2.7662922441323845,55.82607149478685,74.54940116442877,61.58227306744485,86.68551322284756,74.54940116442877,-0.017573470453879914,55.21333222163414,-13.31448677715244
2020-07-15,63.37955856323242,65.06999969482422,8.547249783838756,14.285714285714286,100.0,85.71428571428572,-0.5649365125761081,119.22755567606549,5.668158130569867,11.983659390865599,59.131414625012525,17.698046131715813,22.517318445436572,-0.500560060778169,3.033213823296932,52.83407906528493,74.11662846380285,69.1545236496046,61.45239729092699,74.11662846380285,-0.009118872941127343,53.17628839231292,-34.5001220703125
2020-07-16,64.15946197509766,64.45999908447266,8.792707612912102,7.142857142857143,92.85714285714286,85.71428571428572,0.5,118.76563559361875,14.525754581310368,11.983659390865592,64.59251934577387,16.8311896193087,21.414412283304245,-0.08830807545959082,4.050590484119665,57.262877290655176,76.99554818915458,75.22052593912906,82.84873405368961,76.99554818915458,0.003376699434021191,53.995869205691335,-14.750099182128906
2020-07-17,65.54157257080078,65.51000213623047,9.930191362610925,0.0,100.0,100.0,0.6111081676768533,196.11249104158506,27.51518755003635,24.71748010869561,74.02214506501431,15.65486143802661,25.934770419753022,0.4512027001458602,6.22399902343751,63.75759377501817,80.59272730636516,77.23496798644119,97.47705057447934,80.59272730636516,0.025500295189750943,57.51899026744667,-2.4444580078125
2020-07-20,65.10719299316406,66.37999725341797,11.087603421950401,0.0,100.0,100.0,-0.4623657678203729,167.97551326576362,21.27718857720446,26.13396019336357,80.38045651254889,14.96131786509158,25.5480093013755,0.6279460433094122,2.7418514408727335,60.638594288602235,88.20589544578452,81.9313903137684,84.29190170918505,88.20589544578452,0.049430294730767876,54.13950356622125,-15.708098290814956
2020-07-21,65.37374877929689,66.22000122070311,12.343023602962463,42.85714285714286,100.0,57.142857142857146,0.0,152.27364868316556,23.742469172904823,28.663485956119267,79.86763313922502,14.114151132143867,25.456470789364456,0.7484509106669254,3.307336656861093,61.8712345864524,88.92297879636727,85.90720051617262,84.99998410543787,88.92297879636727,0.074267011150142,53.04214240903088,-15.00001589456213
